KWebEntityId	Version	ChangeTime	IsDeleted	IsPrivate	x	y	City	State	CountryId	_0	StateId	ChangeUserId	Population
31065	3	2011-08-21	0	0	8	51.42	Huesten		26878		36020	20	
31066	3	2011-08-21	0	0	6.17	51.85	Huethum		26878		36020	20	
31067	2	2011-07-12	0	0	19.5	64.33	Haellnaes		27013			20	
31068	2	2011-07-12	0	0	17.17	60.7	Haelsan		27013			20	
31069	2	2011-07-12	0	0	23.7	61.65	Haemenkyroe		26891			20	
31070	2	2011-07-12	0	0	27.2	60.57	Haemina		26891			20	
31071	2	2011-07-12	0	0	17.95	62.63	Haernosand		27013			20	
31072	2	2011-07-12	0	0	15.57	57.62	Haessleby		27013			20	
31073	3	2011-08-22	0	0	8.55	50.1	Hoechst		26878		36017	20	
31074	3	2011-08-22	0	0	10.82	49.7	Hoechstaedt@Aisch		26878		36016	20	
31075	3	2011-08-22	0	0	10.58	48.62	Hoechstaedt@Donau		26878		36016	20	
31076	2	2011-07-12	0	0	23.22	59.92	Hoegsand		26891			20	
31077	2	2011-07-12	0	0	22.45	65.9	Hoegsoen		27013			20	
31078	3	2011-08-21	0	0	13.47	51.77	Hoehenbucko		26878		29314	20	
31079	2	2011-07-12	0	0	13.02	55.5	Hoekoepinge		27013			20	
31080	2	2011-07-12	0	0	13.43	58.63	Hoensaeter		27013			20	
31081	3	2011-08-21	0	0	7.5	51.48	Hoerde		26878		36020	20	
31082	3	2011-08-21	0	0	9.38	51.78	Hoexter		26878		36020	20	
31083	3	2011-08-21	0	0	7.7	52.28	Ibbenbueren		26878		36020	20	
31084	2	2011-07-12	0	0	69.43	56.1	Ichim		27007			20	
31085	3	2011-08-21	0	0	10.98	50.87	Ichtershausen		26878		36026	20	
31086	3	2011-08-22	0	0	7.3	49.71	Idar-Oberstein		26878		36021	20	
31087	4	2011-07-14	0	0	-73.96	40.81	Idlewild		27047		36060	20	
31088	3	2011-08-22	0	0	8.28	50.37	Idstein		26878		36017	20	
31089	3	2011-08-21	0	0	10.2	51.07	Ifta		26878		36026	20	
31090	2	2011-07-12	0	0	86.58	57.5	Igarka		27007			20	
31091	2	2011-07-12	0	0	15.6	49.4	Iglau=Jihlava		26877			20	
31092	2	2011-07-12	0	0	8.43	39.28	Iglesias		26930			20	
31093	2	2011-07-12	0	0	20.25	39.5	Igoumenitsa		26910			20	
31094	2	2011-07-12	0	0	27.15	65.58	Iisalmi		26891			20	
31095	2	2011-07-12	0	0	23.07	61.77	Ikaalinen		26891			20	
31096	4	2011-08-21	0	0	10.78	51.58	Ilfeld		26878		36026	20	
31097	2	2011-07-12	0	0	0.1	51.55	Ilford		26899			20	
31098	3	2011-08-22	0	0	10.1	48.22	Illertissen		26878		36016	20	
31099	2	2011-07-12	0	0	22.55	62.72	Ilmajoki		26891			20	
31100	3	2011-08-21	0	0	10.9	50.68	Ilmenau		26878		36026	20	
31101	2	2011-07-12	0	0	30.9	62.68	Ilomantsi		26891			20	
31102	3	2011-08-21	0	0	10.67	51.85	Ilsenburg		26878		36024	20	
31103	3	2011-08-21	0	0	9.47	51.42	Immenhausen		26878		36017	20	
31104	3	2011-08-22	0	0	10.22	47.57	Immenstadt		26878		36016	20	
31105	2	2011-07-12	0	0	-0.18	53.63	Immingham		26899			20	
31106	2	2011-07-12	0	0	8.03	43.9	Imperia		26930			20	
31107	2	2011-07-12	0	0	10.73	47.23	Imst		26837			20	
31108	2	2011-07-12	0	0	27.57	68.67	Inari@Enare		26891			20	
31109	2	2011-07-12	0	0	27.22	69.1	Inari@Kyronkylae		26891			20	
31110	3	2011-08-22	0	0	8.05	49.97	Ingelheim		26878		36021	20	
31111	3	2011-08-22	0	0	11.43	48.76	Ingolstadt		26878		36016	20	
31112	3	2011-08-22	0	0	11.15	48.08	Inning@Ammersee		26878		36016	20	
31113	2	2011-07-12	0	0	11.4	47.27	Innsbruck		26837			20	
31114	2	2011-07-12	0	0	18.1	52.8	Inoroclaw		26996			20	
31115	3	2011-08-21	0	0	10.47	50.85	Inselberg		26878		36026	20	
31116	3	2011-08-20	0	0	21.82	54.63	Insterburg		27007			20	
31117	2	2011-07-12	0	0	7.85	46.7	Interlaken		26865			20	
31118	2	2011-07-12	0	0	-5.08	56.25	Inverary		26899			20	
31119	2	2011-07-12	0	0	-4.23	57.48	Inverness		26899			20	
