id	FileName	label	description
83319	Typhoid_fever,83319	typhoid_fever	bacterial infectious disorder contracted by consumption of food or drink contaminated with Salmonella typhi. This disorder is common in developing countries and can be treated with antibiotics.
83203	Centaur,83203	centaur	mythological creature of a combination of a man and a horse
83207	Crossword,83207	crossword	word puzzle game
83204	Triumvirate,83204	triumvirate	political regime ruled or dominated by three powerful individuals known as triumvirs (the arrangement can be formal or informal)
83213	Photoelectric_effect,83213	photoelectric_effect	emission of electrons when light hits a material
83216	Candela,83216	candela	SI unit of luminous intensity
81438	Walt_Whitman,81438	Walt_Whitman	American poet, essayist and journalist
81447	Aldous_Huxley,81447	Aldous_Huxley	English writer and philosopher (1894–1963)
72277	Refraction,72277	refraction	in physics, the change in direction of a wave at the interface between two media
72291	David_O._Selznick,72291	David_O._Selznick	American film producer (1902–1965)
72313	Electric_motor,72313	electric_motor	electromechanical device
83322	Guru_Nanak,83322	Guru_Nanak	First Sikh Guru and founder of Sikhism
83323	Fertilizer,83323	fertilizer	material of natural or synthetic origin (other than liming materials) applied to soils or to plants to supply essential nutrients
83320	Nitric_acid,83320	nitric_acid	strong, oxidising mineral acid
81545	Libyan_Civil_War,81545	Libyan_Civil_War	2011 armed conflict in the North African country of Libya
81591	Great_Rift_Valley,81591	Great_Rift_Valley	continuous geographic trench
81659	Fold,81659	fold	geological structure
81731	Murasaki_Shikibu,81731	Murasaki_Shikibu	Japanese novelist and poet (c.973–c.1014)
82264	Catalysis,82264	catalysis	process of increasing the rate of a chemical reaction
82265	Strepsirrhini,82265	Strepsirrhini	suborder of primates
82339	Clovis_I,82339	Clovis_I	first king of the Franks (c. 466-511)
74217	Italian_literature,74217	Italian_literature	Italian regional literature
74363	Hippocampus,74363	Hippocampus	genus of fishes
74623	Great_Turkish_War,74623	Great_Turkish_War	series of conflicts (1683–1699) between the Ottoman Empire and the Holy League (Habsburg Empire, Poland-Lithuania, Venice, Russia), ending with the latter's victory
75507	Paleozoic,75507	Paleozoic	first era of the Phanerozoic eon
81799	Fast_food,81799	fast_food	food prepared and served quickly
81809	Atmospheric_pressure,81809	atmospheric_pressure	static pressure exerted by the weight of the atmosphere
81881	Fork,81881	fork	utensil to spear food
76026	Greco-Persian_Wars,76026	Greco-Persian_Wars	series of conflicts between the Achaemenid Empire of Persia and poleis of the Hellenic world in the fifth century BCE
76034	Canadian_Shield,76034	Canadian_Shield	geographic and geologic area of Canada
76048	Congo_Free_State,76048	Congo_Free_State	area in Central Africa controlled by Leopold II of Belgium (1885–1908)
76098	Grass_Carp,76098	Grass_Carp	species of fish
93343	Percy_Bysshe_Shelley,93343	Percy_Bysshe_Shelley	British Romantic poet (1792–1822)
93344	Trigonometric_function,93344	trigonometric_function	function of an angle
93354	F._Scott_Fitzgerald,93354	F._Scott_Fitzgerald	American writer (1896–1940)
93352	Coast,93352	coast	area where land meets the sea or ocean
80083	Humanities,80083	humanities	study of the products of human culture such as art, historical artifacts etc
80091	Integral,80091	integral	operation in calculus
80095	Kenzaburō_Ōe,80095	Kenzaburō_Ōe	Japanese writer and Nobel Laureate
80113	Expressionism,80113	Expressionism	modernist art movement
73089	Gene_Kelly,73089	Gene_Kelly	American dancer, actor, singer, director and choreographer (1912-1996)
73169	Scandinavian_Peninsula,73169	Scandinavian_Peninsula	peninsula in Northern Europe which covers Norway, Sweden, and most of northern Finland
73561	PSR_B1257+12_c,73561	PSR_B1257+12_c	2nd exoplanet of PSR 1257+12 system
73633	Paralympic_Games,73633	Paralympic_Games	major international sport event for people with disabilities
80034	Armenian_genocide,80034	Armenian_genocide	systematic destruction of the Armenian people and identity in the Ottoman Empire during World War I implemented by the Ottoman authorities through mass murder
80042	Cheque,80042	cheque	document that orders a bank to pay a specific amount of money
80048	Al_Capone,80048	Al_Capone	American gangster (1899–1947)
80056	Sonnet,80056	sonnet	form of poetry with fourteen lines and strict rhyming structure
79894	Braille,79894	Braille	writing system for blind and visually impaired people based on a notational convention for the transcription of other scripts
79896	Separation_of_powers,79896	separation_of_powers	division of government into branches such that legislative, executive, and judicial functions are exercised by distinct, separately constituted political bodies
79897	Morse_code,79897	Morse_code	communication code with signals representing letters, punctuation marks and numbers
79904	J._D._Salinger,79904	J._D._Salinger	American author (1919–2010)
80015	Obstetrics_and_gynaecology,80015	obstetrics_and_gynaecology	medical specialty
80019	Double_bass,80019	double_bass	acoustic stringed instrument of the violin family
80026	Erosion,80026	erosion	action of exogenic processes which remove soil and rock from one location on the Earth's crust, then transport it to another location where it is deposited
82571	Linear_algebra,82571	linear_algebra	branch of mathematics that studies vector spaces and linear transformations
82580	Friction,82580	friction	force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other
82586	Lepton,82586	lepton	class of elementary particles
82601	Tierra_del_Fuego,82601	Tierra_del_Fuego	archipelago off the south of South America
82604	Design,82604	design	creation of a plan or convention for the construction of an object or a system; process of creation; act of creativity and innovation
75655	Pierre_de_Fermat,75655	Pierre_de_Fermat	French mathematician and lawyer
75698	Samuel_Finley_Breese_Morse,75698	Samuel_Finley_Breese_Morse	American inventor and painter (1791–1872)
75713	Hagfish,75713	hagfish	family of eel-shaped, slime producing-animal
75756	Second_Congo_War,75756	Second_Congo_War	war in Africa
99309	Pantheon,99309	Pantheon	ancient Roman temple in Rome, Italy
99717	1989_Tiananmen_Square_protests_and_massacre,99717	1989_Tiananmen_Square_protests_and_massacre	Chinese pro-democracy movement and subsequent massacre
99895	Pillow,99895	pillow	cushion for the head
101038	Albedo,101038	albedo	ratio of reflected radiation to incident radiation
101054	Baháʼu'lláh,101054	Baháʼu'lláh	founder of the Bahá'í Faith
101065	Puberty,101065	puberty	transition from a sexually immature child to a sexually mature adult
101313	Phanerozoic,101313	Phanerozoic	fourth and current eon of the geological timescale
83353	Mineralogy,83353	mineralogy	scientific study of minerals
83359	James_Dean,83359	James_Dean	American actor (1931–1955)
83357	Origami,83357	origami	traditional Japanese art of paper folding
79817	Cannabis,79817	Cannabis	genus of flowering plants
79822	Adam_Mickiewicz,79822	Adam_Mickiewicz	Polish national poet, dramatist, essayist, publicist, translator, and political activist (1798-1855)
79833	Solar_wind,79833	solar_wind	stream of charged particles released from the Sun
72334	Toni_Morrison,72334	Toni_Morrison	African American novelist, essayist, and academic
72468	Bureaucracy,72468	bureaucracy	administrative system governing any large institution
72579	Samuel_Goldwyn,72579	Samuel_Goldwyn	Polish-American film producer (1882–1974)
72717	Elia_Kazan,72717	Elia_Kazan	American film and theatre director (1909–2003)
93957	Gary_Cooper,93957	Gary_Cooper	American actor (1901–1961)
93996	Ernst_Mach,93996	Ernst_Mach	Austrian physicist and university educator (1838–1916)
79965	Golden_Horde,79965	Golden_Horde	medieval state in Eurasia
79969	Emma_Goldman,79969	Emma_Goldman	Russian anarchist
101333	Mechanical_engineering,101333	mechanical_engineering	engineering discipline
101362	Homo_erectus,101362	Homo_erectus	species of archaic humans believed to be extinct in a pure form
101401	Bell,101401	bell	percussion musical instrument
93196	Bollywood,93196	Bollywood	Hindi-language film industry based in Mumbai, Maharashtra, India
93200	Sexism,93200	sexism	prejudice or discrimination based on a person’s sex or gender
93204	Documentary_film,93204	documentary_film	nonfictional motion picture
93332	Appalachian_Mountains,93332	Appalachian_Mountains	mountain range in the eastern United States and Canada
93341	Miles_Davis,93341	Miles_Davis	American jazz musician (1926–1991)
82642	Blood_pressure,82642	blood_pressure	pressure exerted by circulating blood upon the walls of blood vessels
82650	Taxi,82650	taxi	type of vehicle for hire with a driver
82658	Gypsum,82658	gypsum	mineral, calcium sulfate with bounded water
81741	Magic,81741	magic	rituals or actions employed to manipulate natural or supernatural beings and forces
81752	Anton_Bruckner,81752	Anton_Bruckner	Austrian composer (1824-1896)
81794	Messi,81794	Messi	Egyptian pharaoh in 18th Dynasty
